Seed,Dataset,Sample Size,Number of training samples,Number of testing samples,Number of features,Class Imbalance Ratio,Gini Impurity,Entropy,Completeness,Consistency,Uniqueness,Redundancy (avg),Redundancy (std),Avg of features' avg,Std of features' avg,Avg of features' std,Std of features' std,Model,MCC,XAI,Test F Relevance
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,DT,0.7974698518705113,Permutation Importance,"[0.0, 0.38095238095238093, 0.0, 0.23333333333333334, 0.0, 0.1761904761904762, 0.042857142857142885, 0.0, 0.0, 0.0, 0.19047619047619047, 0.08095238095238096, 0.0]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,DT,0.7974698518705113,SHAP,"[0.0, 0.8376401309920893, 0.001512274925708427, 1.047699205564499, 0.010197800153890862, 0.5113428071924508, 0.11065280095379501, 0.005071616477972914, 0.00871061031670703, 0.002987088665610317, 1.0548023029965365, 0.23666744399734116, 0.0]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,DT,0.7974698518705113,LIME (ALL),"[0.009465232637867398, 0.2138322896756174, 0.007317711886193817, 0.09165440709774268, 0.005963878071671308, 0.007746817118903285, 0.007338905746228873, 0.006033837474400164, 0.005932451414635091, 0.006134033991990135, 0.07122223730408683, 0.019220129718607152, 0.00889166816232498]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,KNN,0.5261058924976448,Permutation Importance,"[-0.10476190476190479, 0.019047619047619025, 0.0, 0.0, 0.0, 0.0, 0.02380952380952379, 0.0, 0.0, 0.028571428571428536, 0.17142857142857143, 0.019047619047619015, 0.28095238095238095]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,KNN,0.5261058924976448,SHAP,"[0.4080551153473954, 0.10549483860360437, 0.024542099657200212, 0.018568104792307076, 0.01494125020904096, 0.03806864975437051, 0.4107995187925305, 0.03448126984215403, 0.03894511075399236, 0.146980686785369, 0.5215542370370183, 0.24409813216038437, 0.9601358975147353]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,KNN,0.5261058924976448,LIME (ALL),"[0.004086365277376715, 0.0037809687925114614, 0.004278042833905504, 0.004201708701282132, 0.004684683769410338, 0.0036776894339461863, 0.00463820483897115, 0.004697728420720655, 0.0040797210938943495, 0.0036055317734466894, 0.031727772866121655, 0.004339554581645179, 0.17055925013871912]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,MLP,0.7422781156526178,Permutation Importance,"[0.004761904761904745, 0.009523809523809513, -0.023809523809523836, 0.0, 0.0, -0.03333333333333337, 0.12380952380952381, 0.0, 0.0, 0.06666666666666662, 0.32380952380952377, 0.2095238095238095, 0.34285714285714286]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,MLP,0.7422781156526178,SHAP,"[0.4741863474450817, 0.3492361885027507, 0.11564500876098956, 0.055414068240429805, 0.1741976524651315, 0.08960173480167499, 0.6447837307989096, 0.05509658464842221, 0.07098249826937972, 0.1772891740292952, 0.5368751358591598, 0.27941450452595207, 1.1497643892466296]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,MLP,0.7422781156526178,LIME (ALL),"[0.011443128427440908, 0.009894990776326374, 0.009162254294402305, 0.009780915834839954, 0.009067420951658797, 0.009298450612418716, 0.052141484727739926, 0.007805504493232176, 0.009064267289255653, 0.008664362950698137, 0.06890015036855897, 0.03453621470272262, 0.39454573875358473]"
17,KPI-KQI,0.4,47,20,13,0.5555555555555556,0.8852751169525507,3.14537515300923,100.0,1.0,100.0,0.11775904375138486,0.39945799954208977,127.8632894591116,249.3997216740067,239.87040731455798,641.6383997114882,SGD,0.7448826002689427,Permutation Importance,"[0.05714285714285712, -2.2204460492503132e-17, 0.0, 0.0, 0.0, 0.0, 0.07619047619047616, 0.0, 0.0, 0.0476190476190476, 0.29999999999999993, 0.26190476190476186, 0.30476190476190473]"
