Seed,Dataset,Sample Size,Model,Correlation,PI - SHAP,PI - LIME,SHAP - LIME
3,UAC,0.2,DT,Pearson,0.9943267829585771,0.9970468705954655,0.9837476866217267
3,UAC,0.2,DT,Spearman,0.6795440417751022,0.49901087934784544,0.28373662578598147
3,UAC,0.2,KNN,Pearson,0.7658566914530177,0.7800983532672674,0.9984616649843884
3,UAC,0.2,KNN,Spearman,-0.1580211282746912,-0.13716523188226196,0.08528664559241309
3,UAC,0.2,MLP,Pearson,0.9899040598622934,0.9846415210437102,0.9977566011306567
3,UAC,0.2,MLP,Spearman,0.1646635686490209,0.03739371877686929,0.4217955957086392
3,UAC,0.2,SGD,Pearson,,,
3,UAC,0.2,SGD,Spearman,,,
3,UAC,0.2,GNB,Pearson,0.8530485183809767,0.41109527868936935,0.2658815465057674
3,UAC,0.2,GNB,Spearman,0.815464809143358,0.42685449918850504,0.2704686617730096
3,UAC,0.2,BernoulliNB,Pearson,,,
3,UAC,0.2,BernoulliNB,Spearman,,,
3,UAC,0.2,LR,Pearson,0.8686353235376206,0.9313640875066139,0.6671327513596218
3,UAC,0.2,LR,Spearman,0.7600003847951976,0.5920218630884423,0.3845285149632976
3,UAC,0.2,SVC,Pearson,,,
3,UAC,0.2,SVC,Spearman,,,
3,UAC,0.2,RF,Pearson,,,0.8424262925008721
3,UAC,0.2,RF,Spearman,,,0.45793337097684933
3,UAC,0.2,VC,Pearson,0.8183877258621484,0.5746354377855478,0.44999443946894785
3,UAC,0.2,VC,Spearman,0.782825287923753,0.22935513447264932,0.02992659514398645
3,UAC,0.2,BC,Pearson,0.9975305147902882,0.9863079562142488,0.9922448484275126
3,UAC,0.2,BC,Spearman,0.36115755925730764,0.36115755925730764,0.5098814229249012
3,UAC,0.2,ABC,Pearson,0.9941796412643238,0.9955999999053121,0.980589696031667
3,UAC,0.2,ABC,Spearman,0.6795440417751022,0.49901087934784544,0.27143368266247014
3,UAC,0.2,DNN1,Pearson,0.9391971781457781,0.5645571591241787,0.7149468450089856
3,UAC,0.2,DNN1,Spearman,0.5454022081303577,0.6519654087958275,0.2523997741389046
3,UAC,0.2,DNN2,Pearson,,,
3,UAC,0.2,DNN2,Spearman,,,
3,UAC,0.4,DT,Pearson,0.978455679455168,0.941064951730329,0.8686464695230433
3,UAC,0.4,DT,Spearman,0.5951813753579687,0.36987314252389253,0.23609150899091838
3,UAC,0.4,KNN,Pearson,0.9996908446958962,0.9708558034209797,0.9696616557367191
3,UAC,0.4,KNN,Spearman,0.14703252203295258,0.10841968627594414,0.5172417098838231
3,UAC,0.4,MLP,Pearson,0.8844380251988145,0.8830757923108338,0.986631929104209
3,UAC,0.4,MLP,Spearman,0.3743959581252858,0.1057937817376019,0.4771315640880858
3,UAC,0.4,SGD,Pearson,-0.8759012956362658,-0.9384823864742338,0.8906378158273235
3,UAC,0.4,SGD,Spearman,-0.5115027168833239,-0.6632988818093174,0.21174477696216829
3,UAC,0.4,GNB,Pearson,0.8055415850323769,0.7882979590153866,0.6242560917918487
3,UAC,0.4,GNB,Spearman,0.6763794949405572,0.6812064672505701,0.5031055900621118
3,UAC,0.4,BernoulliNB,Pearson,0.985390158761142,-0.055797676983328146,-0.05168635480500186
3,UAC,0.4,BernoulliNB,Spearman,0.4587980239954805,-0.0011315439440994226,0.3999368625607416
3,UAC,0.4,LR,Pearson,0.9599292843412686,0.963249167527988,0.8673741559555899
3,UAC,0.4,LR,Spearman,0.5189657853379424,0.47788351129489215,0.5256916996047432
3,UAC,0.4,SVC,Pearson,,,
3,UAC,0.4,SVC,Spearman,,,
3,UAC,0.4,RF,Pearson,0.13303504889356815,0.40704103384386964,0.3950690166857057
3,UAC,0.4,RF,Spearman,0.01296679022304259,0.3846814432835968,0.5866741953698477
3,UAC,0.4,VC,Pearson,0.9378854487516272,0.9335108720045752,0.9427092758948344
3,UAC,0.4,VC,Spearman,0.6366631775226942,0.30471143123225464,0.29192546583850937
3,UAC,0.4,BC,Pearson,0.9900345358740467,0.9957630994528378,0.9872891996040916
3,UAC,0.4,BC,Spearman,0.7039062051824265,0.8125674543319468,0.7786561264822135
3,UAC,0.4,ABC,Pearson,0.9784275797731316,0.9410416190626926,0.8656210025625343
3,UAC,0.4,ABC,Spearman,0.5956864084359892,0.4077118271810683,0.20293964355004643
3,UAC,0.4,DNN1,Pearson,0.25248494674062916,0.16307246401291928,0.5510179503118728
3,UAC,0.4,DNN1,Spearman,-0.1373116580785605,-0.3524332557349719,0.5132693393562959
3,UAC,0.4,DNN2,Pearson,-0.32105014732200643,,
3,UAC,0.4,DNN2,Spearman,-0.31279831025532473,,
3,UAC,0.6,DT,Pearson,0.8188787162078056,0.8715353720492736,0.43262983751948997
3,UAC,0.6,DT,Spearman,0.7090930210203651,0.5420984313797207,0.36262629478971886
3,UAC,0.6,KNN,Pearson,0.9929783943493263,0.9890096134661794,0.992024419820417
3,UAC,0.6,KNN,Spearman,0.5969052504669469,0.5969052504669469,0.24223602484472054
3,UAC,0.6,MLP,Pearson,0.9549788922993508,0.9277587439651018,0.9771199457931569
3,UAC,0.6,MLP,Spearman,0.20174997578427284,0.33865174506645795,0.32580463015245625
3,UAC,0.6,SGD,Pearson,0.8207781266290191,0.9329123028426406,0.9345902138340612
3,UAC,0.6,SGD,Spearman,0.23743774622377758,0.23743774622377758,0.461321287408244
3,UAC,0.6,GNB,Pearson,0.9644698657473417,0.7631574032840238,0.6303780980075403
3,UAC,0.6,GNB,Spearman,0.5335112548218742,0.648754365786687,0.47826086956521746
