Seed,Dataset,Sample Size,attr_to_inst,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Model,Model Parameters,Accuracy,Precision,Recall,F1 Score,MCC,XAI,Test F Relevance
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'",0.4761904761904761,0.4021164021164021,0.4761904761904761,0.4155844155844155,0.4501493741380721,PI,"[0.0011904761904761585, 0.002190476190476158, -0.001809523809523841, 0.002190476190476158, 0.004190476190476158, -0.00880952380952384, -0.027809523809523853, -0.00980952380952384, 0.002190476190476158, -0.009809523809523844, 0.19619047619047617, -0.0008095238095238466, 0.2831904761904761]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'",0.4761904761904761,0.4021164021164021,0.4761904761904761,0.4155844155844155,0.4501493741380721,SHAP,"[0.11099012562489188, 0.019594464352338352, 0.012028089977359328, 0.016364387073441865, 0.014742567941896021, 0.025788475965407506, 0.3540205512176068, 0.012594909704519298, 0.00907831649422037, 0.10507501983097906, 0.695763961829699, 0.18105467966245245, 0.6935716951253825]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'",0.4761904761904761,0.4021164021164021,0.4761904761904761,0.4155844155844155,0.4501493741380721,LIME,"[0.005919888978960251, 0.007642784865238864, 0.005653190118199848, 0.006560531215300937, 0.004597860707247252, 0.005904484610271339, 0.005982578655855668, 0.007578814009215858, 0.008499348078817739, 0.006175705501054459, 0.10015431974379937, 0.010597658866317231, 0.28003351148560846]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,DT,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'",0.7142857142857143,0.7325396825396825,0.7142857142857143,0.6736961451247165,0.6957321944991774,PI,"[0.057285714285714315, 0.05828571428571431, 0.0012857142857143344, 0.13528571428571431, 0.2702857142857143, -0.002714285714285669, 0.0902857142857143, 0.2052857142857143, -0.004714285714285671, -0.0007142857142856673, 0.00028571428571433355, -0.004714285714285671, 0.060285714285714304]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,DT,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'",0.7142857142857143,0.7325396825396825,0.7142857142857143,0.6736961451247165,0.6957321944991774,SHAP,"[0.19119585750976167, 0.3574940688329303, 0.011693971545752269, 0.590600155434546, 1.4001526426004485, 0.0018625766022319311, 0.46472447144069384, 0.836070201073719, 0.00885016543307727, 0.006619774232775047, 0.012100436056925987, 0.006396859085361105, 0.6303319673513562]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,DT,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'",0.7142857142857143,0.7325396825396825,0.7142857142857143,0.6736961451247165,0.6957321944991774,LIME,"[0.030787337808204546, 0.005402203649700378, 0.005740495810443145, 0.006593650909424224, 0.041333791525031624, 0.005910861757209893, 0.07895943995559318, 0.005662917195498362, 0.004298716150214377, 0.005473169279332271, 0.005971364337633966, 0.006815795260392821, 0.1127561088183238]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,ExtraTree,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None",0.8571428571428571,0.8015873015873015,0.8571428571428571,0.8131519274376418,0.8464575003056167,PI,"[0.00014285714285711126, 0.19614285714285706, -0.0008571428571428896, 0.28014285714285714, 0.405142857142857, -0.004857142857142893, 0.00014285714285711126, 0.1831428571428571, -0.0008571428571428896, 0.00014285714285711126, 0.0011428571428571122, 0.2351428571428571, 0.002142857142857113]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,ExtraTree,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None",0.8571428571428571,0.8015873015873015,0.8571428571428571,0.8131519274376418,0.8464575003056167,SHAP,"[0.01016587275423914, 0.44416217607339237, 0.005174183989261473, 1.1162166520412358, 0.4835539278636872, 0.0018631179999194936, 0.014837353789293229, 0.723456174172582, 0.009189061784463484, 0.013006563570735152, 0.008131429051572662, 0.8112028714780483, 0.008402509032917373]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,ExtraTree,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None",0.8571428571428571,0.8015873015873015,0.8571428571428571,0.8131519274376418,0.8464575003056167,LIME,"[0.006434473131495134, 0.10487242740949616, 0.007124918151811476, 0.08574414933645189, 0.05778933316047842, 0.0066436108469185694, 0.007957316615632907, 0.07245100411005925, 0.007024859254383063, 0.0060352666515359095, 0.006907017204279824, 0.04767553027529551, 0.0060486779437387735]"
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.6666666666666666,0.5456349206349206,0.6666666666666666,0.5826839826839827,0.651675810141413,PI,"[-0.011333333333333364, 0.0006666666666666288, -0.0023333333333333674, -0.0013333333333333686, -0.0013333333333333686, 0.003666666666666625, 0.10566666666666663, 0.0026666666666666262, 0.0016666666666666275, 0.08466666666666661, 0.2746666666666666, -0.019333333333333355, 0.30866666666666664]"
