Seed,Dataset,Sample Size,attr_to_inst,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Model,Model Parameters,Accuracy,Precision,Recall,F1 Score,MCC,XAI pair,XAI PCC,XAI SRCC
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'",0.4761904761904761,0.4021164021164021,0.4761904761904761,0.4155844155844155,0.4501493741380721,PI - SHAP,0.8732247884635866,0.13259870882635916
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'",0.4761904761904761,0.4021164021164021,0.4761904761904761,0.4155844155844155,0.4501493741380721,PI - LIME,0.9518360558218659,0.43094580368566726
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'",0.4761904761904761,0.4021164021164021,0.4761904761904761,0.4155844155844155,0.4501493741380721,SHAP - LIME,0.8118610214782372,0.4175824175824176
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,DT,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'",0.7142857142857143,0.7325396825396825,0.7142857142857143,0.6736961451247165,0.6957321944991774,PI - SHAP,0.9638757072110292,0.9463557783548546
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,DT,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'",0.7142857142857143,0.7325396825396825,0.7142857142857143,0.6736961451247165,0.6957321944991774,PI - LIME,0.22216393862403502,0.4126551359105471
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,DT,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'",0.7142857142857143,0.7325396825396825,0.7142857142857143,0.6736961451247165,0.6957321944991774,SHAP - LIME,0.4088607222643261,0.41208791208791207
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,ExtraTree,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None",0.8571428571428571,0.8015873015873015,0.8571428571428571,0.8131519274376418,0.8464575003056167,PI - SHAP,0.8352410633895154,0.8105311390039182
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,ExtraTree,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None",0.8571428571428571,0.8015873015873015,0.8571428571428571,0.8131519274376418,0.8464575003056167,PI - LIME,0.8147874326082581,0.6224215231258758
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,ExtraTree,"'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None",0.8571428571428571,0.8015873015873015,0.8571428571428571,0.8131519274376418,0.8464575003056167,SHAP - LIME,0.839739276222191,0.6868131868131868
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.6666666666666666,0.5456349206349206,0.6666666666666666,0.5826839826839827,0.651675810141413,PI - SHAP,0.8383851807332929,0.5809178640206307
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.6666666666666666,0.5456349206349206,0.6666666666666666,0.5826839826839827,0.651675810141413,PI - LIME,0.8118093009188688,0.5199454712472893
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.6666666666666666,0.5456349206349206,0.6666666666666666,0.5826839826839827,0.651675810141413,SHAP - LIME,0.6677794955848189,0.8066421453603516
3,KPI-KQI,0.4,0.1940298507462686,3.14537515300923,2.7108351399647788,247.6515179546981,5.153846153846154,13,0,9,0.0897435897435897,67,0.0,8,0.7167626717863147,GaussianNB,"'priors': None, 'var_smoothing': 0.0001",0.9523809523809524,0.968253968253968,0.9523809523809524,0.9492063492063492,0.94858925261801,PI - SHAP,0.8282715088285006,0.8473185457363234
